site,northing,easting
Burke,5343820,1510562
Burnet,5376034,1500272
Burnet Tributary,5376409,1500722
Cannel,5309056,1457153
Charming,5395578,1512982
Chasm,5396388,1516324
Coal,5343749,1510569
Coalbrookedale,5376001,1500297
Coorang,5317347,1502974
Granity,5390385,1505783
Hot,5389900,1506300
Italian,5344326,1510157
Kiwi,5381937,1497425
Lankey,5333406,1509167
Miller,5390445,1505828
Mine,5390549,1507076
Murray,5334950,1507735
One Horse Creek,5317165,1502552
Packtrack,5389990,1506255
Portal,5389700,1506350
Stream X,NA,NA
Stream Y,NA,NA
Sullivan East,5377645,1498661
Sullivan West,5377541,1498061
Warne,5395728,1512120
